country,url,March 16,March 17,March 18,March 19,March 20,March 21,March 22,March 23,March 24,March 25,March 26,March 27,March 28,March 29,March 30,March 31,April 01,April 02,April 03,April 04,April 05,April 06,April 07,April 08,April 09,April 10,April 11,April 12,April 13,April 14,April 15,April 16,April 17,April 18,April 19,April 20,April 21,April 22,April 23,April 24,April 25,April 26,April 27,April 28,April 29,April 30,May 01,May 02,May 03,May 04,May 05,May 06,May 07,May 08,May 09,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,June 01,June 02,June 03,June 04,June 05,June 06,June 07,June 08,June 09,June 10,June 11,June 12,June 13,June 14,June 15,June 16,June 17,June 18,June 19,June 20,June 21,June 22,June 23,June 24,June 25,June 26,June 27,June 28,June 29,June 30,July 01,July 02,July 03,July 04,July 05,July 06,July 07,July 08,July 09,July 10,July 11,July 12,July 13,July 14,July 15,July 16,July 17,July 18,July 19,July 20,July 21,July 22,July 23,July 24,July 25,July 26,July 27,July 28,July 29,July 30,July 31,August 01,August 02,August 03,August 04,August 05,August 06,August 07,August 08,August 09,August 10,August 11,August 12,August 13,August 14,August 15,August 16,August 17,August 18,August 19,August 20,August 21,August 22,August 23,August 24,August 25,August 26,August 27,August 28,August 29,August 30,August 31,September 01,September 02,September 03,September 04,September 05,September 06,September 07,September 08,September 09,September 10,September 11,September 12,September 13,September 14,September 15,September 16,September 17,September 18,September 19,September 20,September 21,September 22,September 23,September 24
Lebanon,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/LB.png,14.44,17.503,19.399,22.9,23.775,27.275,36.173,38.944,46.383,48.571,53.676,57.03,60.093,63.886,65.053,68.553,69.866,72.054,74.096,75.846,76.867,78.909,79.93,84.014,84.889,88.827,90.286,91.89,92.182,93.495,95.974,96.704,97.433,98.016,98.162,98.746,98.746,99.475,100.35,101.517,102.684,103.121,103.559,104.58,105.163,105.747,106.33,106.914,107.497,107.935,108.081,109.393,114.352,116.103,117.999,123.25,125.292,126.896,128.063,129.23,129.959,131.564,132.876,135.793,139.148,140.169,149.358,158.401,160.006,162.485,163.215,166.278,169.341,170.362,170.945,173.716,177.946,179.842,181.155,183.197,190.49,191.365,192.532,194.137,196.908,199.533,202.45,204.492,207.41,210.327,210.91,213.536,214.848,217.182,218.057,220.245,224.037,231.476,233.81,236.581,239.79,242.415,247.52,250.729,253.792,254.522,259.335,260.793,261.96,266.919,270.566,273.191,274.942,278.151,283.839,293.32,303.676,316.219,340.432,352.83,357.497,370.77,379.084,393.816,404.755,417.007,423.716,434.656,452.742,475.496,496.937,522.462,546.966,566.219,586.785,613.331,632.147,664.382,689.907,712.515,738.331,738.331,790.111,827.305,867.999,907.672,950.554,993.582,1038.652,1081.243,1124.708,1173.425,1231.33,1295.362,1361.873,1423.279,1509.189,1597.433,1689.032,1778.151,1852.1,1918.757,1996.354,2078.18,2178.676,2277.275,2373.833,2460.618,2524.504,2592.911,2680.134,2765.898,2842.765,2918.757,2979.288,3037.631,3110.268,3190.928,3272.608,3352.246,3452.305,3545.799,3704.93,3711.931,3804.405,3904.317,4013.711,4127.334,4274.067,4373.833,4500.0,4637.106,4786.902
Serbia,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/RS.png,7.919,9.359,11.951,14.831,19.438,24.622,31.965,35.853,43.629,55.292,55.292,65.803,94.888,106.695,113.031,129.59,152.628,168.611,212.527,233.837,274.73,316.775,352.34,383.873,412.815,447.084,486.681,522.678,583.729,642.909,701.656,765.731,819.294,863.067,909.719,954.644,954.644,954.644,954.644,954.644,954.644,954.644,954.644,954.644,954.644,1297.192,1297.192,1348.02,1362.707,1376.098,1393.377,1409.791,1417.999,1431.677,1444.492,1444.492,1465.227,1474.874,1482.361,1493.737,1502.952,1511.303,1527.718,1540.533,1545.428,1559.827,1572.21,1587.329,1597.12,1606.767,1611.663,1616.559,1623.47,1627.07,1634.845,1638.733,1643.197,1645.788,1649.244,1659.179,1666.091,1679.914,1690.569,1702.376,1712.887,1722.822,1732.325,1742.549,1753.06,1764.003,1772.498,1780.706,1789.201,1803.024,1816.559,1829.95,1843.485,1856.587,1870.41,1885.097,1905.688,1925.414,1953.204,1985.889,2022.462,2057.307,2097.048,2136.213,2187.905,2232.397,2279.194,2322.678,2364.291,2407.343,2458.747,2497.048,2552.628,2602.304,2643.629,2683.801,2733.333,2783.873,2839.021,2895.464,2951.476,3008.495,3060.187,3110.871,3172.21,3231.533,3290.425,3290.425,3416.847,3476.026,3530.598,3584.161,3630.382,3679.194,3726.71,3771.49,3808.639,3849.964,3892.441,3935.493,3975.234,4011.951,4045.932,4069.402,4103.24,4139.813,4175.378,4209.215,4243.485,4273.866,4288.265,4303.816,4326.566,4349.748,4374.082,4398.56,4414.255,4422.462,4437.725,4459.899,4477.898,4493.449,4504.248,4516.199,4522.102,4533.045,4547.3,4560.979,4574.802,4585.889,4593.952,4599.136,4606.767,4618.862,4627.214,4640.461,4650.828,4666.379,4670.554,4681.21,4695.896,4707.703,4716.631,4728.582,4738.373,4742.693,4751.476,4763.139,4775.09
Bulgaria,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/BG.png,7.455,9.606,13.19,13.477,18.208,23.369,26.81,28.817,31.254,34.695,37.849,42.007,47.455,49.606,51.47,57.204,60.502,65.52,69.534,72.115,76.129,78.71,82.724,85.018,88.602,91.039,94.767,96.774,98.208,102.222,107.097,114.695,121.29,125.878,128.172,133.19,139.785,146.81,157.276,176.918,178.781,186.38,195.412,200.573,207.455,215.914,222.939,228.53,231.971,236.846,244.301,254.91,262.222,268.387,275.412,281.72,285.305,290.036,296.631,301.075,306.523,311.828,316.989,320.43,323.871,328.602,334.194,340.072,345.233,347.957,348.817,350.251,352.688,355.125,356.272,358.28,360.287,361.147,363.871,367.025,370.609,376.631,388.674,390.968,402.867,414.194,429.104,442.437,457.491,468.244,471.685,478.996,495.054,507.814,526.738,538.351,555.125,559.857,571.183,589.821,608.172,631.971,647.025,663.082,672.545,692.616,715.269,738.925,762.007,788.1,813.907,822.939,847.885,874.839,909.247,956.559,998.423,1028.674,1039.713,1062.509,1096.057,1129.319,1167.599,1210.323,1238.423,1252.043,1280.143,1326.738,1374.05,1412.616,1451.326,1478.423,1494.91,1522.724,1558.566,1599.283,1637.276,1675.986,1696.918,1713.978,1743.226,1779.785,1823.226,1865.806,1893.763,1912.975,1920.573,1937.204,1967.312,1991.828,1991.828,2042.007,2054.91,2059.498,2078.853,2103.082,2124.731,2145.09,2169.319,2169.319,2191.685,2205.878,2234.982,2258.208,2280.717,2303.226,2317.419,2321.147,2332.043,2358.996,2382.366,2405.018,2430.681,2444.444,2450.036,2458.208,2482.151,2499.642,2523.011,2551.828,2565.018,2568.889,2589.391,2611.613,2636.559,2658.638,2685.735,2698.065,2704.373,2726.022,2741.649,2764.588,2806.165
Laos,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/LA.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.42,0.841,0.841,1.121,1.121,1.121,1.261,1.402,1.402,1.402,1.402,1.542,1.682,1.962,2.102,2.242,2.242,2.523,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.663,2.803,2.803,2.803,2.803,2.803,2.803,2.803,2.803,2.803,2.803,2.803,2.803,2.803,2.803,2.803,2.803,2.803,2.803,2.803,2.803,2.803,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.083,3.224,3.224,3.224,3.224,3.224,3.224,3.224,3.224,3.224,3.224,3.224,3.224,3.224,3.224
Paraguay,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/PY.png,1.118,1.258,1.537,1.537,1.817,2.515,3.074,3.074,3.773,5.17,5.729,7.267,7.826,8.245,8.944,9.083,9.642,10.76,12.856,13.415,14.533,15.791,16.07,16.629,17.328,18.027,18.586,18.726,20.542,22.219,22.499,24.315,27.809,28.228,28.787,29.067,29.067,29.765,29.765,31.163,31.861,31.861,31.861,33.399,33.399,37.172,46.534,51.705,55.338,57.993,60.229,61.487,64.561,78.675,96.283,99.637,101.174,102.99,103.41,105.366,106.065,108.72,109.838,110.117,115.847,116.406,116.825,117.105,118.781,120.458,120.878,122.554,123.533,125.769,128.144,134.712,137.786,139.044,141.56,149.525,151.761,151.901,152.32,158.608,160.006,165.875,167.971,171.884,175.238,176.216,180.129,181.107,182.085,182.784,185.858,186.696,190.33,192.705,194.522,198.714,213.527,219.257,239.1,271.381,297.233,306.177,310.369,315.819,321.828,328.256,333.287,339.156,343.208,349.637,356.903,368.642,382.337,394.075,411.962,416.434,429.57,446.898,467.021,483.091,507.127,519.983,523.756,533.399,558.971,574.762,590.274,604.807,621.017,635.551,653.158,679.989,727.641,745.947,766.49,788.709,799.888,817.775,846.842,890.861,909.447,936.976,965.204,1010.9,1050.727,1120.458,1172.303,1260.76,1310.928,1368.222,1416.294,1482.113,1555.757,1651.342,1751.817,1813.024,1849.217,1900.783,1988.262,2078.256,2136.669,2218.139,2302.124,2390.302,2468.139,2562.605,2674.399,2789.128,2886.249,3056.316,3142.258,3263.415,3383.734,3497.205,3581.75,3704.863,3818.334,3887.228,3964.086,4094.187,4250.838,4347.82,4489.519,4613.611,4684.181,4787.591,4866.965,4970.794,5087.2
Sierra Leone,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/SL.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.256,0.256,0.256,0.512,0.768,0.768,0.768,0.896,0.896,1.024,1.024,1.28,1.28,1.408,1.664,1.92,3.328,3.84,4.48,5.504,6.4,7.808,8.191,10.495,10.495,11.903,11.903,13.311,13.311,15.871,17.407,19.839,21.247,22.783,25.47,28.798,29.566,32.894,37.246,39.293,43.261,43.261,49.533,52.221,57.212,59.132,64.636,66.428,68.348,72.955,74.875,77.563,79.483,90.49,94.074,96.506,100.09,103.929,106.105,109.049,110.201,110.713,114.681,116.345,116.985,118.904,121.08,124.024,128.12,131.192,135.927,138.871,141.175,144.887,149.622,150.518,156.79,159.862,162.806,166.133,167.541,169.845,171.509,172.405,173.301,173.301,178.421,180.468,182.644,185.588,187.124,191.732,194.292,195.06,196.211,197.363,198.003,201.203,202.739,204.531,206.451,207.091,209.267,210.163,211.314,213.49,214.77,216.05,217.714,218.994,218.994,221.042,221.554,224.242,225.906,226.29,228.209,228.209,228.593,230.769,232.689,233.329,233.329,235.889,236.529,237.425,238.065,240.241,241.521,242.544,245.232,245.36,247.28,247.92,248.304,249.2,250.096,250.352,250.352,250.736,250.992,252.016,252.4,253.424,254.96,255.6,256.112,256.368,257.648,257.648,258.415,258.799,258.799,259.567,259.695,260.463,261.231,261.231,262.895,263.023,264.175,264.559,264.815,267.119,268.271,269.935,270.191,272.111,273.007,273.007,275.566,276.334,277.486,277.486,278.254,279.406,280.046
Togo,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/TG.png,0.124,0.124,0.124,0.124,1.114,1.98,1.98,2.227,2.475,2.846,2.846,3.093,3.093,3.093,3.712,4.207,4.454,4.826,4.949,5.073,5.444,7.176,8.043,8.661,9.032,9.404,9.404,9.404,9.527,9.527,10.022,10.022,10.27,10.393,10.393,10.393,10.641,10.888,10.888,11.136,11.878,12.126,12.126,12.249,13.487,14.353,15.219,15.219,15.343,15.59,15.838,15.838,16.704,17.941,18.931,21.529,22.395,24.623,27.097,29.448,32.541,36.872,37.243,40.831,41.821,42.069,43.801,44.915,46.152,47.142,47.76,48.379,48.874,52.215,52.957,53.576,54.689,54.813,55.061,55.927,57.535,60.01,60.257,61.247,61.495,61.99,64.588,64.835,64.959,65.578,65.578,65.702,66.444,67.31,67.681,68.671,69.414,70.403,70.403,71.269,72.136,72.754,73.125,76.095,79.436,79.56,80.426,81.787,82.529,83.024,83.643,84.138,84.138,85.251,85.994,87.107,87.85,87.85,89.087,89.211,90.448,91.561,92.675,94.779,95.768,96.263,96.882,97.748,99.728,102.45,103.811,105.543,107.399,108.142,110.864,110.864,112.348,116.432,118.535,118.906,120.762,122.247,123.855,125.217,127.196,129.423,131.156,132.022,132.393,135.115,136.6,139.074,139.817,141.92,142.786,145.137,147.241,149.963,153.304,157.758,158.005,160.233,161.965,164.068,164.068,168.894,171.987,172.73,173.224,175.204,177.431,178.545,180.277,182.752,184.113,184.732,187.206,189.062,190.176,191.537,192.403,194.506,195.249,197.352,198.961,200.198,202.92,205.271,206.137,206.508,208.241,210.468,211.21
Israel,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/IL.png,29.933,39.559,50.828,79.469,82.756,103.651,125.719,169.269,226.552,278.084,316.117,356.262,424.815,498.533,551.121,628.947,715.107,804.907,871.933,921.587,989.553,1045.193,1085.573,1103.885,1170.09,1221.74,1261.064,1308.252,1360.019,1414.016,1467.426,1497.594,1523.888,1557.108,1583.637,1609.696,1636.577,1701.843,1737.645,1767.578,1795.751,1812.771,1825.919,1846.226,1858.669,1871.816,1890.011,1899.871,1902.571,1907.031,1912.079,1914.544,1922.878,1929.334,1931.447,1934.147,1937.551,1940.251,1942.482,1946.12,1947.294,1949.525,1950.581,1953.633,1955.511,1956.45,1958.328,1959.15,1961.733,1962.32,1964.315,1967.015,1971.241,1980.514,1994.013,1996.948,2003.874,2015.377,2028.994,2039.793,2053.645,2061.51,2083.813,2096.842,2116.68,2134.053,2154.596,2179.716,2206.245,2227.022,2236.765,2258.129,2288.414,2322.221,2351.919,2387.487,2421.998,2439.019,2474.704,2525.179,2587.628,2629.417,2676.37,2749.266,2788.473,2868.999,2963.259,3082.169,3174.903,3293.227,3424.111,3516.61,3609.461,3782.369,3939.077,4087.921,4257.072,4397.699,4539.265,4769.574,4972.415,5186.994,5406.62,5570.959,5794.694,5903.158,6104.355,6343.702,6583.519,6806.198,6981.453,7122.667,7272.685,7510.858,7781.782,8017.256,8221.153,8330.79,8477.286,8547.365,8736.941,8944.477,9146.496,9339.007,9507.102,9663.576,9743.162,9945.064,10164.691,10347.576,10543.726,10691.396,10826.74,10879.211,11122.315,11316.939,11500.059,11691.396,11822.514,11965.372,12051.062,12263.411,12496.772,12724.85,12959.62,13147.083,13319.052,13384.2,13686.583,13914.544,14258.012,14609.109,14839.653,15135.11,15335.603,15726.611,16148.022,16562.625,17082.521,17439.136,17927.222,18265.524,18824.745,19298.274,20009.978,20572.368,21020.19,21552.06,22056.814,22412.138,22699.143,24027.468,24899.049
Switzerland,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/CH.png,256.65,314.979,353.243,475.385,617.592,767.032,871.909,1026.015,1152.24,1271.232,1377.858,1508.166,1642.091,1729.935,1857.443,1937.121,2072.795,2196.337,2287.214,2392.091,2461.503,2526.482,2596.01,2715.819,2805.763,2864.092,2928.955,2964.886,2996.734,3025.665,3072.329,3118.525,3158.889,3196.92,3236.118,3259.916,3273.798,3297.713,3324.312,3345.427,3370.742,3390.224,3402.24,3413.906,3430.588,3451.47,3465.352,3478.418,3488.684,3497.55,3500.817,3506.766,3514.466,3523.915,3529.048,3535.348,3539.897,3544.097,3547.947,3553.78,3559.729,3566.496,3568.245,3569.412,3571.862,3576.528,3580.728,3582.245,3584.344,3585.628,3586.794,3588.544,3590.294,3592.627,3596.36,3598.343,3600.327,3601.377,3601.727,3603.943,3606.276,3608.959,3611.293,3612.343,3613.159,3615.026,3617.709,3621.559,3623.775,3627.392,3630.075,3631.708,3634.391,3638.241,3639.757,3643.84,3644.774,3650.49,3652.59,3655.156,3660.289,3666.356,3673.122,3681.171,3688.404,3692.487,3699.72,3715.702,3729.235,3744.867,3756.183,3764.349,3769.832,3776.132,3791.181,3801.447,3813.579,3828.395,3836.094,3843.444,3851.61,3867.009,3883.574,3894.307,3907.14,3918.689,3923.705,3936.304,3952.753,3966.402,3984.368,4001.633,4014.466,4022.049,4037.448,4059.963,4085.628,4110.126,4131.125,4147.224,4154.923,4170.089,4191.204,4212.319,4231.101,4252.333,4270.065,4282.315,4304.13,4336.094,4363.392,4394.657,4424.172,4447.503,4462.436,4485.418,4521.699,4552.73,4588.427,4622.842,4655.04,4673.355,4696.92,4741.601,4783.714,4823.378,4867.242,4901.307,4920.322,4945.52,4988.684,5031.148,5078.395,5127.975,5179.771,5202.053,5230.635,5285.348,5332.594,5394.19,5448.437,5503.85,5533.831,5570.579,5630.541,5692.371,5749.3,5749.3,5749.3,5877.042,5910.406,5961.386,6007.0
Papua New Guinea,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/PG.png,0.0,0.0,0.0,0.0,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.8,0.8,0.8,0.8,0.8,0.8,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,1.028,1.028,1.143,1.143,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.257,1.714,1.828,1.828,2.171,3.085,3.428,3.542,3.656,4.456,7.084,7.084,7.198,7.198,7.198,8.227,10.398,12.569,12.683,13.026,17.482,18.624,21.481,21.481,24.452,24.452,24.452,32.793,30.964,30.964,30.964,36.906,38.048,39.648,39.648,41.248,41.248,41.248,45.818,45.818,47.875,47.875,48.446,51.76,51.76,52.445,52.445,52.559,53.816,53.816,54.73,55.759,56.787,56.787,57.473,57.587,57.93,58.044,58.044,58.272,58.387,58.387,58.958,58.958,58.958,58.958,59.072,59.072,60.215,60.215,60.672
Austria,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/AT.png,114.678,150.051,185.423,226.766,269.01,316.999,403.289,503.999,595.133,629.492,778.303,862.566,931.734,989.974,1083.474,1146.784,1206.601,1253.689,1298.186,1327.138,1357.553,1385.265,1423.792,1457.925,1491.945,1526.98,1555.255,1570.914,1581.728,1602.568,1614.96,1630.731,1644.137,1652.698,1661.485,1666.667,1675.453,1681.311,1689.985,1697.758,1706.432,1715.106,1720.626,1729.976,1735.046,1740.678,1749.578,1752.619,1757.013,1759.716,1762.983,1766.813,1774.473,1776.952,1783.598,1787.879,1789.118,1798.017,1802.073,1808.944,1814.69,1825.054,1829.672,1832.714,1838.572,1842.176,1847.922,1851.526,1857.159,1859.074,1863.129,1865.157,1868.987,1873.155,1876.197,1879.576,1884.758,1884.984,1887.913,1889.264,1893.095,1897.375,1903.571,1904.022,1911.457,1912.696,1915.625,1918.892,1922.271,1923.848,1927.34,1930.269,1936.352,1937.929,1940.182,1945.59,1951.448,1953.475,1957.869,1961.023,1965.642,1968.796,1973.865,1980.399,1988.735,1996.508,2001.352,2013.405,2021.066,2033.345,2046.299,2059.254,2068.83,2075.138,2085.502,2096.992,2107.581,2115.918,2128.76,2134.505,2142.728,2157.711,2170.778,2189.816,2204.912,2214.149,2224.062,2233.525,2245.015,2264.166,2277.121,2291.089,2306.185,2315.872,2329.278,2348.766,2360.595,2380.309,2389.546,2399.91,2409.035,2419.849,2429.424,2444.069,2459.953,2469.19,2482.032,2490.256,2505.914,2527.768,2545.229,2576.997,2611.13,2632.646,2651.121,2684.353,2713.079,2752.169,2789.456,2823.251,2844.767,2872.029,2895.798,2932.635,2969.584,2995.381,3039.878,3060.268,3090.909,3113.89,3150.727,3196.125,3236.341,3276.67,3297.398,3330.066,3388.645,3445.195,3519.995,3585.333,3683.226,3735.384,3778.416,3864.481,3950.997,4038.864,4129.886,4221.471,4291.427,4354.85,4427.509,4504.224,4597.95
Tajikistan,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/TJ.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.627,1.627,8.242,13.881,24.943,31.775,41.102,49.995,56.61,66.37,66.37,71.684,79.059,86.867,98.362,121.245,143.368,165.275,187.507,209.956,232.079,254.853,276.651,296.931,317.645,336.189,354.192,371.326,386.401,399.74,412.862,426.201,435.202,444.637,454.506,465.134,473.918,482.919,491.161,499.837,508.622,516.538,524.238,531.613,539.096,546.036,552.76,559.592,566.208,572.498,578.896,585.511,591.801,597.874,603.731,610.563,617.178,623.251,628.891,634.313,639.844,639.844,651.231,656.979,656.979,667.932,673.788,679.102,684.85,690.164,695.152,700.249,705.563,710.552,715.324,720.421,726.06,731.049,735.929,741.134,745.906,750.569,755.558,760.763,765.644,770.415,775.404,779.959,784.622,789.068,793.84,798.829,803.492,808.047,812.819,817.482,822.362,826.917,831.255,835.701,835.701,839.931,848.823,853.595,858.041,862.162,866.392,870.73,874.634,878.321,881.792,885.587,889.6,893.721,897.625,901.312,905.108,908.687,912.374,916.278,919.748,923.544,923.544,930.81,934.714,938.51,942.414,946.101,949.68,953.476,956.946,960.85,965.08,969.418,973.539,977.551,981.347,985.576,990.023,994.578,999.241,1004.121,1008.893,1013.556,1018.111,1022.883,1027.546,1032.426
Belarus,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/BY.png,3.803,3.803,5.387,5.387,7.288,8.028,8.028,8.556,8.556,9.084,9.084,9.929,9.929,9.929,16.056,16.056,17.218,32.112,37.076,46.477,59.364,73.941,90.948,112.602,156.966,209.253,235.133,272.314,308.334,346.572,393.789,444.069,504.806,504.806,504.806,661.667,710.151,769.093,847.365,926.693,1012.993,1105.208,1192.458,1289.532,1392.31,1481.673,1575.684,1671.913,1764.551,1847.365,1938.312,2033.907,2130.348,2228.9,2329.355,2426.64,2525.193,2627.337,2727.897,2827.929,2929.122,3029.576,3131.932,3229.323,3328.193,3425.161,3524.982,3623.429,3722.827,3823.598,3923.524,4020.175,4114.926,4210.204,4305.905,4400.338,4495.194,4584.663,4674.659,4765.607,4856.977,4950.671,5043.942,5136.791,5223.725,5309.496,5394.106,5473.328,5547.692,5623.851,5701.172,5775.853,5848.632,5918.665,5984.684,6056.09,6119.785,6179.888,6234.604,6283.617,6331.995,6378.156,6413.119,6453.47,6493.609,6526.883,6561.53,6593.852,6622.795,6654.378,6683.215,6713.214,6739.622,6760.642,6783.986,6803.739,6824.126,6841.344,6858.773,6877.997,6894.37,6912.75,6931.763,6948.558,6966.621,6981.62,6994.085,7008.345,7026.619,7044.259,7060.949,7077.427,7091.159,7103.729,7115.876,7131.932,7147.46,7162.565,7177.142,7189.923,7200.38,7209.253,7222.563,7235.978,7247.703,7260.801,7272.631,7282.877,7289.004,7299.25,7309.919,7321.01,7321.01,7342.981,7350.692,7359.565,7373.085,7388.824,7405.831,7424.21,7443.541,7462.237,7470.899,7496.99,7517.165,7536.284,7554.98,7572.304,7588.782,7601.352,7620.26,7637.266,7656.597,7675.399,7696.102,7714.271,7732.967,7753.459,7773.423,7793.81,7813.985,7834.9,7854.653,7874.934,7897.222,7920.883,7946.551,7970.952,7993.451,8017.112,8038.872,8065.596,8096.652
United Arab Emirates,https://raw.githubusercontent.com/google/region-flags/gh-pages/png/AE.png,10.223,10.223,11.788,14.605,14.605,15.961,15.961,20.655,25.871,34.738,34.738,42.249,48.821,59.462,63.739,69.268,84.916,106.822,131.859,157.0,187.67,216.566,246.088,277.384,311.913,350.511,389.735,430.106,471.625,514.605,559.67,607.657,657.417,657.417,707.386,757.876,808.992,859.378,913.415,968.183,1023.68,1079.595,1130.711,1187.148,1244.419,1302.003,1360.108,1418.631,1477.467,1536.616,1584.811,1641.769,1694.137,1751.826,1816.921,1898.393,1969.33,2051.012,2126.643,2199.458,2277.384,2360.421,2436.678,2523.472,2614.542,2712.706,2805.967,2909.66,2994.367,3075.84,3161.59,3242.854,3334.968,3393.699,3460.255,3535.99,3604.945,3671.187,3733.361,3792.927,3861.673,3926.768,3992.072,4048.404,4107.657,4162.737,4225.642,4275.61,4329.126,4380.346,4412.059,4447.736,4483.831,4523.68,4564.156,4605.153,4645.629,4686.522,4725.955,4765.596,4812.539,4857.396,4900.167,4940.538,4986.126,5032.965,5076.883,5118.819,5160.547,5230.649,5305.341,5376.591,5431.671,5487.169,5533.591,5589.088,5638.431,5680.472,5722.303,5758.189,5797.309,5825.996,5855.31,5885.875,5916.023,5938.035,5966.305,5998.122,6022.741,6049.238,6076.466,6109.117,6145.733,6173.274,6211.767,6250.887,6282.391,6311.913,6338.41,6363.342,6380.451,6400.167,6426.664,6451.596,6474.129,6499.061,6522.533,6541.206,6568.537,6594.2,6623.096,6657.521,6687.044,6708.951,6732.84,6770.916,6816.295,6864.386,6905.174,6949.405,6990.09,7018.777,7054.141,7095.765,7146.985,7187.67,7232.214,7269.977,7326.414,7386.293,7462.967,7527.019,7590.862,7664.406,7717.922,7766.952,7834.133,7926.247,8023.263,8120.384,8225.433,8292.197,8373.253,8443.564,8531.4,8613.395,8703.63,8788.024,8858.335,8929.168,9018.047,9131.024,9235.552
