state,March 16,March 17,March 18,March 19,March 20,March 21,March 22,March 23,March 24,March 25,March 26,March 27,March 28,March 29,March 30,March 31,April 01,April 02,April 03,April 04,April 05,April 06,April 07,April 08,April 09,April 10,April 11,April 12,April 13,April 14,April 15,April 16,April 17,April 18,April 19,April 20,April 21,April 22,April 23,April 24,April 25,April 26,April 27,April 28,April 29,April 30,May 01,May 02,May 03,May 04,May 05,May 06,May 07,May 08,May 09,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,June 01,June 02,June 03,June 04,June 05,June 06,June 07,June 08,June 09,June 10,June 11,June 12,June 13,June 14,June 15,June 16,June 17,June 18,June 19,url
South Carolina,6.491,9.244,9.244,15.932,24.783,33.634,38.551,58.613,67.268,83.396,83.396,106.606,129.815,152.238,181.938,213.015,254.319,305.655,334.372,377.054,403.017,439.011,475.398,475.398,549.354,603.247,631.57,653.009,666.974,698.838,719.097,773.186,806.23,835.537,860.91,874.481,873.105,936.439,967.122,997.216,1033.21,1081.399,1104.018,1128.014,1156.928,1198.822,1230.883,1276.318,1303.264,1329.031,1345.553,1364.238,1404.756,1449.011,1481.268,1505.265,1532.604,1559.158,1579.417,1610.69,1653.568,1703.528,1734.014,1758.797,1781.22,1804.626,1845.144,1895.693,1946.242,1985.777,2001.906,2048.718,2089.432,2121.886,2189.351,2241.08,2332.934,2389.384,2441.9,2441.9,2441.9,2646.064,2646.064,2809.906,2911.004,2995.187,3099.63,3233.772,3377.158,3531.56,3696.779,3811.449,3931.823,4043.149,4235.315,4446.756,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/south-carolina-large.png
Idaho,2.856,4.57,5.141,6.284,13.139,20.565,23.993,38.845,46.272,51.984,83.403,117.107,133.673,160.522,194.226,294.196,323.33,443.293,508.987,583.821,615.811,628.95,668.367,691.217,703.784,773.477,797.47,803.754,814.608,836.315,841.457,906.579,919.147,945.425,952.851,955.136,991.696,1008.834,1048.822,1068.244,1077.956,1083.668,1083.668,1115.087,1115.087,1133.367,1151.076,1177.354,1177.354,1203.06,1215.056,1232.765,1244.19,1244.19,1259.614,1273.896,1291.033,1309.885,1309.885,1343.017,1343.017,1381.862,1381.862,1402.428,1402.428,1431.562,1431.562,1482.403,1482.403,1500.112,1500.112,1500.112,1541.813,1582.372,1582.372,1601.224,1621.789,1621.789,1675.487,1675.487,1708.048,1777.17,1793.165,1793.165,1821.728,1840.008,1862.287,1862.287,1915.413,1915.413,1941.691,1941.691,1977.68,2074.793,2138.202,2211.323,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/idaho-large.png
New Jersey,20.031,30.047,30.047,83.502,100.157,149.336,215.394,320.053,413.571,495.385,773.799,993.132,1251.853,1506.41,1872.153,2103.978,2504.494,2879.803,3364.271,3840.187,4220.672,4624.115,4998.41,5338.382,5742.388,6143.129,6544.096,6960.368,7268.042,7745.195,7993.45,8475.893,8830.383,9162.702,9599.455,9984.442,10396.887,10793.803,11256.439,11500.755,11872.35,12270.728,12512.681,12812.928,13095.282,13352.652,13638.269,13922.648,14263.295,14434.913,14696.448,14842.407,15078.846,15286.925,15462.144,15614.856,15778.259,15858.272,15930.633,16059.374,16203.421,16327.773,16487.012,16682.375,16807.965,16967.767,17058.921,17170.67,17233.803,17347.914,17453.473,17529.098,17626.329,17689.012,17875.709,17961.687,18055.88,18109.11,18179.67,18238.526,18290.518,18381.222,18443.905,18474.402,18511.877,18545.525,18607.42,18660.312,18699.475,18749.103,18780.163,18805.146,18841.495,18872.668,18918.133,18961.909,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/new-jersey-large.png
Minnesota,9.632,10.702,13.735,15.875,20.513,24.615,29.788,41.739,46.555,51.015,61.36,70.635,78.662,89.721,102.742,112.196,122.899,132.352,140.557,154.292,166.778,175.875,190.68,205.842,221.182,238.306,254.537,289.142,289.142,302.341,322.676,322.676,369.231,394.025,420.245,440.58,457.882,485.53,524.772,568.116,614.671,642.497,679.777,745.775,828.361,916.121,1022.074,1111.617,1188.495,1290.346,1400.402,1530.257,1670.457,1799.421,1924.638,2010.435,2104.616,2228.585,2304.036,2396.433,2540.023,2670.056,2794.739,2920.313,3037.503,3151.84,3246.377,3389.967,3539.8,3669.655,3802.007,3917.058,4006.957,4093.111,4197.281,4314.828,4432.554,4496.411,4549.923,4614.494,4686.378,4812.487,4905.419,4974.092,5034.382,5087.716,5149.432,5229.165,5314.605,5381.852,5435.185,5474.784,5508.496,5582.342,5649.945,5713.446,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/minnesota-large.png
Maine,12.696,23.897,31.365,38.833,41.82,52.276,66.465,79.907,88.122,106.045,115.753,125.461,157.574,188.939,205.368,226.279,226.279,280.795,322.615,340.538,350.993,372.65,387.586,401.028,418.205,437.621,460.025,472.721,521.262,548.894,575.032,594.448,617.599,632.535,647.471,653.445,663.153,677.342,699.746,720.656,720.656,757.996,763.97,776.666,788.615,817.74,838.65,861.054,884.951,899.887,915.57,936.48,993.236,1026.095,1051.486,1072.396,1091.813,1103.015,1131.393,1168.733,1197.111,1230.717,1259.842,1279.258,1300.169,1358.419,1401.733,1454.755,1503.297,1534.662,1548.851,1574.989,1595.899,1634.733,1662.364,1704.184,1736.297,1754.22,1775.13,1805.748,1826.659,1853.543,1884.909,1919.261,1932.703,1946.146,1969.296,1991.7,2032.027,2058.912,2085.796,2098.492,2105.213,2117.908,2149.274,2175.412,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/maine-large.png
Nevada,14.865,18.498,18.168,31.381,37.657,53.182,62.761,80.929,91.83,106.694,138.736,177.053,206.782,303.897,334.287,367.98,422.483,483.262,500.109,575.422,612.749,645.121,701.606,746.199,811.273,899.139,892.532,936.796,987.665,1035.232,1060.667,1061.658,1164.058,1197.751,1231.444,1265.137,1300.481,1348.048,1389.999,1452.76,1499.336,1563.749,1552.518,1592.487,1629.813,1669.122,1733.534,1780.11,1807.527,1859.718,1869.628,1896.384,1934.04,1955.511,2038.422,2021.576,2032.146,2085.328,2139.171,2148.42,2224.064,2250.49,2295.414,2332.41,2343.971,2440.425,2444.389,2485.68,2486.01,2603.275,2628.049,2661.411,2692.131,2724.503,2766.784,2813.36,2850.026,2874.47,2926.0,2956.72,3015.518,3074.976,3135.094,3193.892,3242.449,3318.093,3375.239,3459.472,3535.776,3632.561,3699.947,3737.603,3859.162,3915.647,4019.699,4136.964,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/nevada-large.png
Kansas,3.778,6.183,6.183,11.678,15.113,19.578,22.326,28.853,34.348,46.027,59.079,70.757,91.366,113.349,127.775,149.071,166.589,189.946,216.05,239.751,257.955,291.616,313.256,359.282,383.326,383.67,437.94,461.64,477.44,494.958,516.597,554.724,594.224,625.481,654.334,703.452,743.295,800.657,934.615,1016.364,1076.817,1125.591,1192.914,1254.397,1318.628,1515.787,1591.697,1677.911,1770.994,1848.965,1939.987,2058.489,2174.929,2289.996,2345.64,2387.545,2458.989,2486.811,2582.299,2646.53,2708.701,2726.905,2731.714,2851.933,2869.107,2922.003,2962.534,3060.083,3072.792,3092.714,3134.275,3159.693,3191.293,3218.772,3318.725,3328.343,3331.777,3407.343,3422.8,3466.422,3492.184,3539.928,3558.819,3574.276,3621.676,3644.003,3692.434,3717.508,3769.03,3785.174,3812.996,3887.875,3919.475,3999.507,4036.946,4129.0,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/kansas-large.png
Tennessee,7.679,10.928,11.666,22.742,34.408,54.787,74.576,90.672,114.005,135.27,161.999,194.636,223.137,254.001,283.093,353.091,433.131,444.945,452.919,490.576,536.503,561.46,611.226,644.306,684.326,722.278,757.868,813.393,828.456,860.502,860.502,941.428,924.888,973.03,1044.062,1068.871,1091.908,1091.908,1220.681,1288.907,1356.985,1427.573,1464.64,1484.428,1530.798,1585.29,1756.002,1869.712,1945.912,2004.096,2021.67,2058.293,2081.626,2132.573,2180.863,2212.909,2295.459,2379.19,2417.438,2466.023,2504.566,2549.312,2563.489,2659.773,2718.99,2718.99,2800.064,2864.007,2921.748,2969.89,3032.504,3085.667,3143.26,3201.444,3258.152,3332.432,3332.432,3332.432,3594.703,3667.211,3719.931,3789.929,3865.686,3912.351,3987.961,4072.136,4124.56,4185.107,4299.998,4363.646,4480.9,4578.513,4688.826,4742.432,4839.307,5023.457,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/tennessee-large.png
South Dakota,11.38,12.519,12.519,12.519,15.933,15.933,23.899,31.865,34.141,46.66,52.35,66.007,77.387,102.424,114.943,122.909,146.808,187.778,212.815,241.266,273.131,327.758,364.175,447.253,508.707,609.993,712.418,830.775,987.825,1124.391,1329.239,1491.98,1605.785,1754.869,1860.708,1917.61,1997.273,2114.492,2226.021,2321.617,2443.388,2517.361,2553.778,2632.304,2700.587,2787.078,2873.57,2945.267,2994.203,3036.311,3096.627,3163.772,3307.166,3579.159,3861.395,4002.513,4112.903,4168.668,4247.193,4315.476,4423.59,4505.53,4537.395,4582.917,4648.924,4753.624,4753.624,4957.335,5080.244,5192.91,5219.086,5295.335,5360.203,5454.661,5537.739,5644.715,5682.271,5728.931,5766.486,5874.601,5971.335,6005.476,6107.901,6188.702,6226.257,6285.436,6377.618,6447.039,6534.668,6638.231,6712.204,6746.345,6789.591,6885.187,6952.332,7008.096,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/south-dakota-large.png
Iowa,7.305,7.305,9.21,13.974,14.292,21.597,28.584,33.348,39.382,46.37,56.85,74.636,94.645,106.713,134.662,157.847,173.727,195.006,222.002,249.951,275.994,300.449,332.209,363.652,403.352,440.828,479.575,504.031,543.095,603.122,633.611,679.981,740.642,798.128,921.674,1003.297,1156.38,1190.364,1246.261,1411.73,1617.217,1739.176,1863.675,2025.015,2173.334,2269.25,2503.956,2745.014,2913.977,3081.669,3211.25,3304.307,3512.335,3638.739,3706.706,3798.174,3929.661,4100.847,4220.582,4343.175,4461.958,4550.568,4653.153,4749.703,4858.004,4960.907,5135.586,5237.854,5366.799,5478.912,5576.097,5622.467,5833.988,5902.907,6020.737,6111.888,6209.709,6256.396,6358.028,6447.273,6607.978,6718.503,6821.405,6895.724,6989.416,7062.464,7186.01,7296.217,7415.952,7532.511,7598.889,7648.435,7679.242,7768.488,7895.845,8027.014,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/iowa-large.png
