state,March 16,March 17,March 18,March 19,March 20,March 21,March 22,March 23,March 24,March 25,March 26,March 27,March 28,March 29,March 30,March 31,April 01,April 02,April 03,April 04,April 05,April 06,April 07,April 08,April 09,April 10,April 11,April 12,April 13,April 14,April 15,April 16,April 17,April 18,April 19,April 20,April 21,April 22,April 23,April 24,April 25,April 26,April 27,April 28,April 29,April 30,May 01,May 02,May 03,May 04,May 05,May 06,May 07,May 08,May 09,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,June 01,June 02,June 03,June 04,June 05,June 06,June 07,June 08,June 09,June 10,June 11,June 12,June 13,June 14,June 15,June 16,June 17,June 18,June 19,url
Nebraska,9.348,10.906,12.464,15.06,19.215,19.734,26.485,26.485,34.275,36.871,38.429,42.584,49.854,56.086,75.301,89.322,109.056,127.751,144.889,166.7,189.031,216.554,232.134,269.524,294.971,329.765,363.001,410.778,422.722,465.825,467.903,494.388,553.59,648.624,765.47,855.831,875.046,941.518,1143.531,1258.819,1412.017,1572.485,1743.859,1826.43,1999.882,2223.187,2600.729,2761.197,2939.842,3135.104,3309.594,3473.697,3808.655,4060.004,4202.815,4243.322,4365.88,4430.795,4628.134,4808.856,4990.616,5307.398,5285.068,5517.721,5636.644,5775.82,5934.211,6056.25,6212.564,6301.367,6419.771,6553.234,6742.784,6880.403,7087.609,7221.073,7322.859,7449.572,7590.306,7730.002,7861.908,8000.565,8086.771,8134.548,8197.905,8266.454,8339.158,8472.622,8580.12,8641.4,8688.138,8750.975,8848.087,8948.315,9043.349,9133.71,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/nebraska-large.png
Colorado,28.113,28.113,32.33,48.671,63.782,68.526,103.843,123.698,127.036,179.397,251.261,251.788,305.73,405.356,406.059,521.148,523.959,587.213,657.496,735.862,869.751,910.69,953.914,993.624,993.624,1089.736,1144.381,1283.892,1351.364,1396.872,1397.926,1455.91,1527.071,1589.623,1709.631,1709.631,1840.181,1913.627,1981.626,2153.467,2278.571,2361.68,2438.64,2515.424,2593.087,2685.509,2774.944,2850.849,2922.889,2972.614,3051.507,3133.21,3227.741,3308.039,3404.327,3461.959,3492.883,3541.73,3597.605,3661.386,3730.615,3801.073,3854.664,3901.051,3950.249,4005.597,4074.825,4126.835,4210.647,4247.545,4261.953,4313.963,4349.456,4411.48,4497.752,4583.146,4632.344,4667.31,4704.384,4752.176,4804.889,4849.694,4890.634,4917.517,4949.496,4978.312,5004.843,5030.848,5061.597,5095.86,5115.715,5145.409,5170.535,5210.772,5251.185,5301.437,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/colorado-large.png
Arkansas,7.31,7.31,10.964,20.6,31.897,40.535,54.822,63.793,72.764,93.032,111.306,126.589,135.892,141.541,157.157,173.77,194.037,213.64,233.908,246.866,278.098,290.723,314.314,332.255,371.794,389.071,408.01,425.287,468.48,497.719,521.309,538.254,563.173,579.453,591.747,655.54,661.188,756.213,863.532,933.638,967.195,997.098,1019.692,1038.963,1060.891,1090.13,1108.736,1120.365,1141.962,1159.904,1171.2,1199.774,1230.342,1244.961,1244.961,1333.009,1343.309,1383.511,1407.434,1450.627,1482.856,1521.065,1581.203,1599.145,1635.693,1662.274,1813.45,1864.617,1918.775,1967.616,2003.168,2053.338,2085.567,2172.286,2251.695,2330.107,2409.848,2472.977,2597.573,2680.304,2799.252,2874.341,3023.856,3131.839,3236.167,3349.134,3444.824,3593.674,3836.553,4018.629,4153.525,4291.743,4382.781,4520.667,4627.653,4861.229,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/arkansas-large.png
Florida,7.296,10.167,14.78,19.629,26.501,31.02,47.26,57.757,66.465,79.174,110.947,136.507,177.13,199.865,257.622,317.308,327.429,424.019,483.329,543.063,581.332,627.179,684.654,727.536,770.277,825.209,870.539,936.486,989.394,1018.061,1059.625,1098.788,1165.441,1199.944,1238.637,1273.705,1311.833,1332.545,1395.573,1437.231,1451.635,1484.256,1512.781,1546.202,1562.441,1585.836,1634.696,1669.293,1698.242,1736.794,1762.307,1788.808,1827.689,1845.152,1882.904,1910.911,1929.081,1973.375,1995.922,2033.956,2077.638,2109.317,2145.892,2186.091,2209.72,2234.527,2291.201,2327.728,2359.549,2394.382,2435.757,2459.717,2477.557,2508.2,2565.251,2608.886,2643.672,2675.068,2704.111,2766.104,2832.899,2894.327,2954.108,3009.652,3055.123,3106.713,3171.248,3251.175,3340.705,3462.197,3557.092,3639.844,3770.844,3893.7,4044.658,4224.565,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/florida-large.png
Indiana,3.734,4.481,5.825,8.961,12.844,19.117,30.468,40.326,54.962,71.242,96.333,146.218,184.154,225.973,266.746,322.306,382.944,453.738,513.33,590.397,658.801,740.199,822.941,887.611,948.548,1031.589,1110.448,1184.079,1248.451,1273.543,1338.213,1425.137,1516.542,1589.277,1674.409,1745.651,1806.737,1857.666,1947.428,2043.314,2150.55,2242.104,2383.841,2477.486,2566.202,2663.731,2782.467,2881.788,2977.075,3062.805,3141.365,3266.374,3360.916,3456.95,3544.472,3603.317,3678.144,3752.821,3804.497,3891.123,3981.183,4074.38,4148.758,4220.0,4287.21,4372.192,4471.065,4541.709,4615.191,4686.135,4736.766,4790.981,4844.599,4938.842,5012.025,5109.553,5163.769,5202.004,5262.791,5333.734,5391.086,5463.075,5525.654,5585.396,5619.15,5680.385,5725.789,5787.173,5846.616,5905.91,5960.573,6038.387,6091.557,6125.46,6188.936,6234.937,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/indiana-large.png
Texas,2.969,3.842,6.043,9.082,13.762,20.294,22.46,26.477,33.358,42.929,54.596,67.659,85.753,97.525,109.925,133.048,152.12,177.06,200.289,229.385,251.811,280.942,311.75,341.511,391.496,422.828,454.894,477.738,498.626,524.16,555.632,589.479,623.466,653.331,672.752,689.903,718.65,744.743,791.165,825.816,843.665,872.098,884.463,920.651,952.088,1003.435,1037.142,1079.932,1117.691,1145.111,1184.547,1220.036,1258.738,1301.004,1341.103,1371.283,1416.587,1447.221,1502.69,1553.687,1597.036,1657.5,1690.473,1717.754,1765.783,1804.939,1853.143,1870.119,1913.327,1951.226,1970.368,1999.045,2044.873,2109.599,2127.273,2189.239,2258.296,2291.165,2351.14,2405.875,2464.488,2534.103,2601.239,2634.003,2670.854,2731.807,2821.543,2887.246,2966.502,3035.943,3092.111,3151.072,3268.367,3412.628,3536.979,3681.415,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/texas-large.png
New Hampshire,12.56,19.21,19.21,32.509,32.509,40.636,54.674,74.623,74.623,79.795,101.222,116.737,138.164,158.113,231.997,263.767,271.156,233.475,353.906,398.976,458.822,528.274,528.274,551.917,605.114,605.114,653.877,686.386,727.762,681.215,841.544,841.544,950.893,991.529,1026.994,1069.108,1100.878,1173.285,1233.87,1270.812,1327.703,1377.206,1431.88,1485.077,1520.542,1585.56,1706.731,1794.653,1860.41,1912.129,1947.594,2025.172,2100.535,2177.374,2224.66,2268.991,2334.748,2393.117,2437.448,2498.772,2551.23,2627.331,2656.884,2698.26,2749.24,2857.85,2907.353,2965.721,3021.135,3065.465,3100.93,3126.051,3166.687,3242.788,3318.889,3318.889,3436.365,3461.486,3508.772,3542.759,3602.605,3659.496,3708.26,3725.992,3752.591,3752.591,3825.736,3848.64,3879.672,3915.136,3929.174,3949.123,3963.161,4016.358,4026.702,4053.3,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/new-hampshire-large.png
Montana,6.6,8.485,10.371,10.371,14.142,19.799,32.055,32.055,48.083,61.282,84.852,102.766,121.622,145.192,161.22,186.675,196.103,227.216,229.102,249.843,269.642,281.899,300.755,313.011,333.753,344.124,355.437,364.865,371.465,376.179,380.893,391.264,397.864,401.635,408.234,408.234,412.006,413.891,416.72,418.605,419.548,422.377,423.319,425.205,425.205,427.091,427.091,428.976,428.976,430.862,429.919,429.919,429.919,431.805,431.805,431.805,432.747,434.633,435.576,435.576,439.347,441.233,441.233,443.118,444.061,450.661,451.603,451.603,451.603,451.603,451.603,451.603,453.489,457.26,464.803,476.116,485.544,489.316,493.087,494.972,508.172,510.057,509.115,513.829,516.657,522.314,528.913,530.799,540.227,554.369,566.626,574.168,578.882,593.967,617.537,627.908,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/montana-large.png
Michigan,5.308,6.51,8.313,33.453,55.288,78.926,103.665,133.112,179.586,229.966,284.954,363.98,465.742,549.676,650.837,762.715,932.986,1080.822,1276.433,1424.769,1574.308,1724.847,1900.026,2037.846,2153.831,2246.979,2364.266,2428.268,2567.59,2704.408,2810.376,2885.496,3007.09,3084.012,3147.413,3205.105,3271.912,3402.019,3535.231,3669.945,3713.315,3783.827,3827.096,3932.464,4046.345,4144.501,4242.357,4327.593,4387.088,4406.018,4452.191,4525.108,4581.798,4646.0,4688.969,4725.727,4762.786,4809.761,4846.82,4966.11,5015.889,5061.863,5122.359,5199.782,5243.352,5309.357,5359.537,5399.901,5445.173,5476.623,5496.855,5519.191,5569.671,5610.336,5671.133,5705.988,5748.857,5762.378,5782.31,5812.759,5833.391,6387.875,6433.147,6475.114,6504.761,6510.169,6528.599,6555.341,6577.677,6594.103,6615.938,6619.043,6637.472,6660.309,6690.457,6720.404,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/michigan-large.png
California,14.115,17.688,19.031,24.125,29.826,34.565,41.711,53.419,64.316,75.973,98.805,118.013,129.113,148.296,180.885,208.05,238.181,273.0,304.195,325.304,380.978,405.939,439.693,478.871,499.473,534.216,550.054,577.65,606.438,642.549,676.253,701.366,738.87,772.675,796.496,853.64,898.722,946.338,1002.519,1047.981,1073.652,1103.808,1139.488,1169.846,1235.303,1270.349,1318.396,1351.872,1391.302,1416.162,1481.339,1536.076,1574.899,1616.23,1686.653,1713.058,1756.873,1798.661,1844.781,1897.313,1943.485,1994.978,2031.495,2064.21,2122.368,2179.258,2230.802,2287.085,2345.04,2382.57,2442.882,2518.576,2560.718,2630.735,2701.919,2784.86,2836.961,2907.46,2970.357,3024.409,3095.871,3186.339,3258.688,3309.928,3391.044,3462.633,3540.532,3633.331,3716.5,3801.621,3859.449,3946.268,4028.246,4125.48,4234.143,4329.831,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/california-large.png
Alabama,5.933,7.979,9.411,15.958,16.981,26.802,32.122,40.101,49.512,77.951,105.776,120.098,141.99,168.792,183.932,201.936,216.872,252.267,305.871,330.218,361.112,399.371,443.769,476.299,553.023,602.944,658.185,728.976,763.961,808.768,833.729,888.97,935.208,964.056,1000.065,1039.143,1087.837,1144.305,1193.204,1232.896,1232.896,1313.711,1337.853,1381.023,1414.168,1450.176,1492.323,1557.18,1613.853,1659.683,1726.176,1778.144,1850.775,1920.133,1978.034,2023.25,2079.514,2140.893,2189.177,2271.22,2326.87,2388.454,2408.3,2472.747,2532.08,2670.387,2718.672,2796.827,2888.282,2962.141,3066.076,3201.927,3280.083,3381.972,3484.475,3551.582,3672.907,3811.624,3839.449,3856.839,3902.055,3966.503,4100.718,4194.218,4281.171,4382.856,4498.862,4673.996,4850.971,5033.266,5240.727,5375.146,5506.088,5587.926,5770.835,5933.693,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/alabama-large.png
Oregon,9.326,15.782,16.261,21.043,27.26,27.26,38.499,45.673,50.217,63.608,75.564,99.477,114.542,131.041,144.911,164.997,175.997,197.519,214.975,214.975,255.387,255.387,270.691,282.408,315.886,316.125,327.843,365.146,378.776,390.494,397.667,415.124,426.841,440.949,456.732,467.971,479.21,492.362,508.622,520.579,538.752,552.621,562.904,570.317,584.904,600.208,616.707,630.098,640.859,659.75,678.88,697.293,714.749,733.64,755.64,771.901,785.77,802.987,816.856,831.921,846.747,863.725,866.356,881.66,890.986,908.92,912.746,923.985,929.724,939.05,944.311,948.615,965.593,977.071,987.832,1000.745,1014.614,1028.722,1036.614,1051.918,1069.852,1092.808,1092.808,1114.808,1176.981,1192.763,1209.98,1252.306,1285.783,1285.783,1285.783,1391.717,1458.194,1486.889,1522.28,1571.54,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/oregon-large.png
Wyoming,5.194,19.044,25.969,31.163,32.895,39.82,45.014,45.014,50.208,76.177,91.759,121.191,141.967,148.892,162.742,188.712,225.069,259.695,280.47,323.753,341.066,363.573,373.961,382.617,398.199,413.78,451.869,467.451,476.107,488.226,496.883,512.464,528.046,534.971,541.897,548.822,766.965,773.891,784.278,818.904,850.068,869.112,900.275,927.976,943.558,967.796,979.915,1002.422,1014.541,1031.854,1045.705,1092.45,1099.375,1114.957,1130.538,1146.12,1158.239,1168.627,1191.134,1213.641,1239.61,1282.893,1305.399,1326.175,1343.488,1362.532,1386.77,1390.233,1407.546,1450.829,1459.485,1471.604,1488.917,1516.618,1542.587,1554.706,1563.363,1575.482,1578.945,1584.139,1594.526,1615.302,1625.69,1639.54,1662.047,1679.36,1696.673,1746.881,1778.044,1817.864,1835.177,1868.072,1885.385,1928.667,1980.606,2030.814,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/wyoming-large.png
Georgia,11.512,13.89,18.932,27.304,39.958,48.235,59.08,73.446,97.611,118.636,145.084,190.274,225.095,252.209,267.145,373.794,441.247,508.794,554.745,586.045,632.377,695.834,839.301,941.954,1005.22,1092.651,1156.774,1184.649,1266.752,1386.911,1425.822,1490.705,1635.79,1680.98,1741.107,1846.328,1891.423,2018.241,2081.888,2139.732,2209.277,2234.393,2312.025,2371.01,2452.162,2498.684,2615.228,2695.333,2727.109,2801.887,2853.927,2924.804,3008.049,3061.612,3100.332,3194.709,3234.856,3322.573,3370.427,3422.753,3498.387,3540.247,3575.162,3642.139,3696.557,3786.557,3868.566,3946.483,4018.787,4081.578,4128.956,4184.421,4246.736,4306.482,4364.992,4407.803,4477.444,4557.264,4586.281,4651.64,4743.448,4815.942,4886.154,4937.433,4994.42,5065.963,5135.508,5229.98,5307.041,5404.176,5487.611,5557.347,5620.518,5711.089,5795.0,5899.365,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/georgia-large.png
Missouri,0.98,1.797,2.94,5.064,8.658,12.088,14.212,30.547,41.982,57.828,84.945,108.795,136.565,149.47,171.686,221.673,263.492,303.351,304.494,377.351,383.395,446.94,511.302,524.207,560.636,636.596,671.064,697.364,737.55,775.285,782.636,845.201,877.382,911.36,938.15,962.163,990.914,1025.382,1062.79,1108.856,1132.87,1163.09,1193.311,1216.998,1251.302,1277.112,1317.788,1364.997,1407.797,1461.377,1489.964,1522.962,1565.108,1589.938,1619.015,1644.662,1659.201,1677.496,1699.549,1730.587,1758.684,1790.212,1814.551,1836.441,1861.108,1883.161,1909.461,1933.474,1954.71,1984.604,2038.022,2054.847,2093.562,2120.516,2137.342,2172.3,2195.169,2241.889,2289.426,2317.849,2358.525,2380.414,2442.326,2454.088,2476.141,2507.832,2533.969,2564.516,2613.196,2651.584,2656.485,2713.496,2753.681,2788.313,2837.646,2885.999,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/missouri-large.png
Mississippi,4.361,7.045,11.405,16.773,26.836,46.964,69.439,83.528,107.346,126.467,162.696,194.229,222.407,254.611,284.131,314.322,359.944,394.831,455.549,488.088,549.476,583.022,642.398,671.918,758.13,828.24,886.274,932.902,986.911,1035.552,1127.131,1215.691,1272.383,1333.101,1433.737,1513.576,1582.009,1641.72,1728.603,1822.866,1918.135,1982.878,2044.267,2127.46,2203.608,2286.13,2419.306,2496.125,2532.69,2642.384,2753.085,2825.878,2913.768,3049.292,3145.903,3187.164,3245.198,3323.695,3384.748,3516.582,3623.256,3731.273,3789.307,3834.929,3926.173,4014.398,4099.939,4235.128,4362.601,4448.142,4514.562,4606.142,4711.139,4821.169,4962.395,5108.654,5207.278,5284.097,5381.044,5475.307,5555.146,5625.256,5715.829,5793.319,5960.376,6079.463,6200.227,6200.227,6404.184,6490.396,6546.752,6641.686,6760.102,6924.14,6924.14,6924.14,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/mississippi-large.png
Pennsylvania,6.015,8.749,11.874,16.093,23.67,30.935,39.763,54.527,73.901,98.43,140.224,183.19,222.25,268.106,324.586,387.706,469.419,567.772,669.483,815.879,905.325,1025.473,1160.307,1299.203,1429.585,1566.372,1696.675,1791.902,1897.676,1989.31,2089.928,2207.497,2334.832,2472.634,2570.284,2649.34,2753.63,2818.703,2998.143,3141.024,3214.847,3329.135,3402.724,3526.074,3619.036,3747.464,3873.08,3944.56,4001.665,4125.953,4207.822,4280.942,4371.248,4481.787,4574.67,4682.397,4723.019,4789.499,4851.291,4929.723,5010.264,5092.211,5132.443,5208.14,5258.293,5321.96,5409.923,5484.839,5547.179,5590.457,5618.736,5685.372,5746.227,5798.02,5857.703,5913.402,5947.15,5987.537,6032.769,6076.125,6119.481,6156.978,6210.881,6242.363,6276.032,6317.514,6352.355,6393.914,6443.364,6479.533,6499.766,6529.92,6560.309,6584.604,6615.383,6655.692,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/pennsylvania-large.png
West Virginia,0.0,0.554,0.554,1.108,3.88,4.434,8.868,8.868,12.193,21.615,28.82,42.122,53.206,62.628,80.364,89.786,105.859,119.715,131.354,156.294,179.572,191.211,228.345,267.695,284.876,318.131,319.793,328.661,338.637,354.71,389.072,403.483,429.532,435.074,493.269,499.919,503.245,520.426,543.704,559.777,559.777,584.717,589.151,606.887,615.2,623.514,638.478,656.768,662.31,678.383,690.576,688.359,713.3,733.252,733.252,753.759,757.084,763.735,774.82,790.892,801.977,814.724,826.918,832.46,832.46,868.485,882.895,944.97,944.97,974.898,983.212,983.212,1052.491,1072.443,1081.311,1102.372,1114.011,1123.987,1139.506,1151.145,1165.001,1174.423,1183.845,1188.278,1197.7,1202.134,1215.99,1228.737,1246.473,1260.329,1269.197,1286.932,1297.463,1316.861,1340.139,1367.85,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/west-virginia-large.png
Delaware,8.286,16.572,19.679,31.073,39.359,46.609,58.002,70.431,107.719,123.255,134.648,168.828,221.652,240.295,273.439,330.406,381.158,407.052,466.09,614.203,697.063,810.996,961.181,1155.903,1252.228,1373.412,1531.882,1683.102,1820.858,1994.865,2086.011,2144.013,2399.845,2628.747,2628.747,2843.148,3035.799,3314.417,3426.279,3565.07,3703.861,4178.237,4310.814,4738.581,4821.441,4903.266,5093.845,5218.135,5394.214,5477.074,5563.042,5984.594,6151.351,6329.501,6501.436,6501.436,6799.734,6982.027,7200.571,7481.261,7636.624,7816.845,7944.243,8150.359,8324.365,8486.979,8685.844,8833.957,8833.957,9123.969,9285.546,9390.158,9421.23,9498.912,9566.236,9758.887,9837.604,9948.43,10031.29,10059.256,10094.471,10122.437,10197.011,10297.479,10328.552,10378.268,10415.555,10467.343,10536.739,10594.741,10630.992,10709.71,10774.962,10817.428,10874.395,10990.4,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/delaware-large.png
Massachusetts,28.623,31.674,31.674,47.656,60.006,76.279,93.859,112.893,168.395,267.049,351.174,470.75,618.513,719.928,835.726,961.841,1124.279,1302.699,1511.34,1705.161,1816.165,2010.422,2208.747,2439.473,2751.998,3047.379,3321.402,3701.344,3903.592,4092.037,4346.882,4675.68,4998.376,5284.604,5532.329,5532.329,5985.934,6239.471,6686.829,7405.449,7751.101,7982.117,8203.544,8470.884,8756.094,9037.963,9343.95,9627.563,9892.577,10037.871,10209.898,10464.742,10711.159,10945.372,11150.235,11302.793,11399.994,11526.399,11695.666,11940.485,12120.503,12340.187,12496.667,12648.063,12774.904,12926.735,13088.592,13205.553,13317.864,13465.046,13551.641,13612.955,13689.524,13787.597,13877.243,13991.88,14088.354,14646.28,14698.295,14760.626,14829.059,14900.834,14984.377,15028.546,15056.152,15094.364,15133.158,15207.402,15264.357,15313.176,15343.397,15356.037,15384.37,15423.017,15462.392,15495.519,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/massachusetts-large.png
Virginia,5.764,7.881,9.057,11.645,14.351,18.35,25.878,29.878,34.465,46.581,54.815,71.401,87.046,104.69,119.982,146.919,174.444,200.676,236.67,283.134,310.541,338.537,392.294,428.759,475.457,530.39,597.204,620.377,676.015,727.184,764.59,810.348,881.161,947.268,1004.789,1057.487,1132.77,1207.582,1293.687,1363.794,1454.603,1525.652,1592.465,1686.686,1759.969,1864.071,1988.17,2086.508,2196.374,2292.947,2382.816,2382.816,2537.263,2628.073,2728.528,2832.63,2948.966,3034.835,3146.112,3271.623,3372.666,3491.589,3574.518,3662.975,3781.193,3870.944,4015.51,4111.143,4205.128,4263.355,4437.799,4627.77,4734.46,4869.969,5003.125,5129.93,5247.088,5340.133,5439.059,5517.401,5629.266,5708.783,5810.533,5961.333,6028.617,6085.903,6137.542,6192.828,6259.171,6336.571,6411.501,6456.2,6508.545,6560.772,6615.234,6680.519,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/virginia-large.png
New York,49.513,87.351,127.75,274.701,425.492,599.58,808.997,1069.31,1314.928,1579.132,1939.392,2297.757,2683.516,3054.118,3413.303,3882.828,4298.335,4736.525,5273.177,5828.518,6306.082,6749.239,7161.93,7734.679,8283.466,8824.624,9268.958,9678.935,10022.81,10395.102,10980.55,11453.506,11807.11,12376.224,12688.712,12957.268,13228.692,13481.171,13489.773,13906.048,14446.387,14748.583,14950.883,15110.123,15344.886,15584.564,15786.403,16025.16,16201.194,16331.145,16445.787,16588.437,16767.185,16917.617,17056.631,17173.014,17258.01,17331.23,17442.646,17565.02,17706.441,17830.299,17927.02,17991.023,18066.496,18144.579,18251.49,18338.329,18429.059,18510.42,18574.372,18629.261,18687.068,18777.594,18857.009,18927.463,18984.298,19032.479,19100.527,19154.034,19207.694,19262.736,19319.468,19359.457,19395.402,19430.373,19464.883,19502.568,19544.656,19591.558,19627.092,19658.838,19691.146,19720.178,19751.821,19792.578,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/new-york-large.png
Utah,12.367,16.172,16.172,25.368,24.734,43.126,51.371,81.495,94.497,107.815,125.573,149.673,190.896,228.314,253.048,281.587,281.587,346.276,397.964,455.043,509.902,534.318,553.662,588.226,588.543,666.867,699.846,730.288,749.314,766.438,807.978,850.787,885.669,924.989,973.189,1018.852,1045.488,1092.42,1145.376,1199.283,1251.922,1307.415,1343.248,1377.812,1426.012,1481.505,1530.973,1580.758,1641.008,1686.036,1727.894,1774.191,1815.097,1876.932,1935.279,1982.211,2017.409,2039.606,2099.222,2140.128,2192.133,2241.284,2295.191,2341.488,2383.98,2444.864,2496.869,2554.898,2619.27,2661.128,2702.034,2733.427,2760.698,2828.875,2937.642,3022.942,3106.658,3170.712,3235.084,3328.63,3428.834,3568.042,3741.181,3826.164,3907.343,3982.496,4079.212,4202.248,4305.307,4433.416,4538.694,4632.24,4736.567,4865.628,5022.594,5208.416,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/utah-large.png
North Carolina,3.66,6.165,6.743,11.848,16.568,24.37,29.379,34.002,47.68,56.831,71.087,85.44,98.251,114.722,126.474,147.858,161.343,190.433,216.826,239.462,255.163,285.312,317.773,337.038,359.867,381.925,419.395,440.201,470.64,492.505,514.371,543.172,582.279,609.539,635.836,664.155,687.176,721.949,753.255,798.527,844.57,866.628,908.144,939.642,980.58,1035.87,1066.308,1116.204,1133.735,1153.096,1205.015,1257.319,1304.229,1349.116,1394.581,1438.89,1471.255,1504.776,1575.092,1634.428,1685.094,1746.356,1798.66,1850.098,1853.18,1951.719,1975.8,2129.726,2202.355,2250.613,2317.27,2355.607,2400.012,2485.162,2589.674,2677.233,2772.69,2850.424,2891.939,3012.633,3089.596,3207.112,3344.181,3431.547,3517.468,3585.858,3705.878,3812.894,3989.456,4127.007,4263.691,4345.567,4421.952,4520.877,4639.741,4639.741,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/north-carolina-large.png
Alaska,1.36,4.081,8.162,12.243,16.323,20.404,27.206,40.809,46.25,55.772,76.176,78.897,115.624,138.749,155.073,161.874,179.558,194.521,213.565,232.609,251.653,258.455,289.741,307.425,319.667,334.631,349.594,369.998,376.799,387.682,398.564,408.086,420.329,427.13,433.932,436.652,447.534,455.696,458.417,461.137,461.137,462.498,469.299,477.461,482.902,482.902,495.144,496.505,500.586,503.306,504.666,506.027,508.747,512.828,514.188,515.549,515.549,520.99,520.99,520.99,527.791,527.791,527.791,527.791,544.115,545.475,545.475,548.196,553.637,553.637,554.997,557.718,559.078,576.762,583.563,589.004,624.372,633.894,661.099,685.585,696.467,711.43,727.754,738.636,764.481,778.084,805.29,828.415,848.819,888.267,897.789,901.87,918.194,945.399,961.723,979.407,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/alaska-large.png
Hawaii,4.928,7.039,9.855,11.263,18.302,26.045,37.308,39.42,63.354,64.058,66.873,74.617,104.886,104.886,123.188,143.602,157.681,180.206,224.554,247.08,261.159,272.421,288.612,288.612,311.138,311.138,327.328,351.262,354.781,359.709,368.86,373.084,380.827,404.057,408.28,411.096,412.504,416.727,419.543,423.063,425.878,426.582,427.286,428.694,431.51,435.03,435.734,436.437,436.437,437.141,439.957,440.661,442.773,442.773,444.181,444.885,446.292,446.996,449.108,448.404,449.108,449.812,450.516,450.516,451.22,452.628,455.444,451.924,452.628,452.628,452.628,452.628,453.332,455.444,456.851,458.259,458.963,458.963,459.667,459.667,461.075,467.41,473.746,475.154,475.858,480.081,482.193,487.121,496.976,508.942,512.462,518.094,518.094,523.725,536.396,555.402,https://raw.githubusercontent.com/CivilServiceUSA/us-states/master/images/flags/hawaii-large.png
